d,date,day
1,2/01/2019,Wednesday
2,3/01/2019,Thursday
3,4/01/2019,Friday
4,7/01/2019,Monday
5,8/01/2019,Tuesday
6,9/01/2019,Wednesday
7,10/01/2019,Thursday
8,11/01/2019,Friday
9,14/01/2019,Monday
10,15/01/2019,Tuesday
11,16/01/2019,Wednesday
12,17/01/2019,Thursday
13,18/01/2019,Friday
14,21/01/2019,Monday
15,22/01/2019,Tuesday
16,23/01/2019,Wednesday
17,24/01/2019,Thursday
18,25/01/2019,Friday
19,29/01/2019,Tuesday
20,30/01/2019,Wednesday
21,31/01/2019,Thursday
22,1/02/2019,Friday
23,4/02/2019,Monday
24,5/02/2019,Tuesday
25,6/02/2019,Wednesday
26,7/02/2019,Thursday
27,8/02/2019,Friday
28,11/02/2019,Monday
29,12/02/2019,Tuesday
30,13/02/2019,Wednesday
31,14/02/2019,Thursday
32,15/02/2019,Friday
33,18/02/2019,Monday
34,19/02/2019,Tuesday
35,20/02/2019,Wednesday
36,21/02/2019,Thursday
37,22/02/2019,Friday
38,25/02/2019,Monday
39,26/02/2019,Tuesday
40,27/02/2019,Wednesday
41,28/02/2019,Thursday
42,1/03/2019,Friday
43,4/03/2019,Monday
44,5/03/2019,Tuesday
45,6/03/2019,Wednesday
46,7/03/2019,Thursday
47,8/03/2019,Friday
48,12/03/2019,Tuesday
49,13/03/2019,Wednesday
50,14/03/2019,Thursday
51,15/03/2019,Friday
52,18/03/2019,Monday
53,19/03/2019,Tuesday
54,20/03/2019,Wednesday
55,21/03/2019,Thursday
56,22/03/2019,Friday
57,25/03/2019,Monday
58,26/03/2019,Tuesday
59,27/03/2019,Wednesday
60,28/03/2019,Thursday
61,29/03/2019,Friday
62,1/04/2019,Monday
63,2/04/2019,Tuesday
64,3/04/2019,Wednesday
65,4/04/2019,Thursday
66,5/04/2019,Friday
67,8/04/2019,Monday
68,9/04/2019,Tuesday
69,10/04/2019,Wednesday
70,11/04/2019,Thursday
71,12/04/2019,Friday
72,15/04/2019,Monday
73,16/04/2019,Tuesday
74,17/04/2019,Wednesday
75,18/04/2019,Thursday
76,23/04/2019,Tuesday
77,24/04/2019,Wednesday
78,26/04/2019,Friday
79,29/04/2019,Monday
80,30/04/2019,Tuesday
81,1/05/2019,Wednesday
82,2/05/2019,Thursday
83,3/05/2019,Friday
84,6/05/2019,Monday
85,7/05/2019,Tuesday
86,8/05/2019,Wednesday
87,9/05/2019,Thursday
88,10/05/2019,Friday
89,13/05/2019,Monday
90,14/05/2019,Tuesday
91,15/05/2019,Wednesday
92,16/05/2019,Thursday
