Intern  (size 11),Rotation  (size 17),Week  (size 54)
1,5,1
1,10,2
1,9,3
1,10,4
1,1,5
1,1,6
1,1,7
1,1,8
1,1,9
1,1,10
1,1,11
1,1,12
1,3,13
1,3,14
1,3,15
1,3,16
1,12,17
1,12,18
1,4,19
1,4,20
1,14,21
1,5,22
1,5,23
1,13,24
1,2,25
1,2,26
1,2,27
1,7,28
1,7,29
1,7,30
1,10,31
1,10,32
1,9,33
1,9,34
1,9,35
1,9,36
1,15,37
1,6,38
1,6,39
1,6,40
1,10,41
1,4,42
1,4,43
1,8,44
1,8,45
1,8,46
1,11,47
1,11,48
1,11,49
1,11,50
1,17,51
1,17,52
1,17,53
1,17,54
2,10,1
2,5,2
2,10,3
2,9,4
2,3,5
2,3,6
2,3,7
2,3,8
2,4,9
2,4,10
2,12,11
2,12,12
2,11,13
2,11,14
2,11,15
2,11,16
2,9,17
2,9,18
2,9,19
2,9,20
2,14,21
2,7,22
2,7,23
2,7,24
2,13,25
2,10,26
2,5,27
2,5,28
2,10,29
2,1,30
2,1,31
2,1,32
2,1,33
2,1,34
2,1,35
2,1,36
2,1,37
2,16,38
2,8,39
2,8,40
2,8,41
2,2,42
2,2,43
2,2,44
2,6,45
2,6,46
2,6,47
2,4,48
2,4,49
2,10,50
2,17,51
2,17,52
2,17,53
2,17,54
3,10,1
3,9,2
3,10,3
3,5,4
3,1,5
3,1,6
3,1,7
3,1,8
3,1,9
3,1,10
3,1,11
3,1,12
3,4,13
3,4,14
3,12,15
3,12,16
3,13,17
3,6,18
3,6,19
3,6,20
3,14,21
3,2,22
3,2,23
3,2,24
3,9,25
3,9,26
3,9,27
3,9,28
3,5,29
3,5,30
3,7,31
3,7,32
3,7,33
3,8,34
3,8,35
3,8,36
3,15,37
3,4,38
3,4,39
3,10,40
3,10,41
3,11,42
3,11,43
3,11,44
3,11,45
3,3,46
3,3,47
3,3,48
3,3,49
3,10,50
3,17,51
3,17,52
3,17,53
3,17,54
4,9,1
4,10,2
4,5,3
4,10,4
4,5,5
4,5,6
4,4,7
4,4,8
4,3,9
4,3,10
4,3,11
4,3,12
4,1,13
4,1,14
4,1,15
4,1,16
4,1,17
4,1,18
4,1,19
4,1,20
4,14,21
4,13,22
4,6,23
4,6,24
4,6,25
4,8,26
4,8,27
4,8,28
4,12,29
4,12,30
4,2,31
4,2,32
4,2,33
4,10,34
4,10,35
4,4,36
4,4,37
4,16,38
4,9,39
4,9,40
4,9,41
4,9,42
4,7,43
4,7,44
4,7,45
4,10,46
4,11,47
4,11,48
4,11,49
4,11,50
4,17,51
4,17,52
4,17,53
4,17,54
5,5,1
5,10,2
5,9,3
5,10,4
5,4,5
5,4,6
5,12,7
5,12,8
5,5,9
5,5,10
5,2,11
5,2,12
5,2,13
5,13,14
5,9,15
5,9,16
5,9,17
5,9,18
5,10,19
5,10,20
5,14,21
5,1,22
5,1,23
5,1,24
5,1,25
5,1,26
5,1,27
5,1,28
5,1,29
5,3,30
5,3,31
5,3,32
5,3,33
5,6,34
5,6,35
5,6,36
5,15,37
5,10,38
5,7,39
5,7,40
5,7,41
5,11,42
5,11,43
5,11,44
5,11,45
5,4,46
5,4,47
5,8,48
5,8,49
5,8,50
5,17,51
5,17,52
5,17,53
5,17,54
6,10,1
6,9,2
6,10,3
6,5,4
6,5,5
6,8,6
6,8,7
6,8,8
6,10,9
6,7,10
6,7,11
6,7,12
6,12,13
6,12,14
6,5,15
6,13,16
6,3,17
6,3,18
6,3,19
6,3,20
6,14,21
6,9,22
6,9,23
6,9,24
6,9,25
6,4,26
6,4,27
6,2,28
6,2,29
6,2,30
6,6,31
